Team,Home_Total_Score,Home_Count,Home_Average_Score,Away_Total_Score,Away_Count,Away_Average_Score,Number of Goals,Sum_First_Goal_Time,First_Goal_Count,Average_First_Goal_Time,True_Neutral_Venue,False_Neutral_Venue
Saint Vincent and the Grenadines,35,32,1.09375,39,24,1.625,42,928.0,23,40.34782608695652,3,35
Samoa,23,16,1.4375,3,4,0.75,15,310.0,8,38.75,6,8
San Marino,26,81,0.32098765432098764,6,25,0.24,16,882.0,16,55.125,2,88
Saudi Arabia,190,124,1.532258064516129,172,112,1.5357142857142858,235,5597.0,130,43.05384615384615,73,93
Scotland,347,204,1.7009803921568627,265,191,1.387434554973822,379,7902.0,210,37.628571428571426,25,240
Senegal,120,80,1.5,179,114,1.5701754385964912,189,4374.0,106,41.264150943396224,67,64
Serbia,171,103,1.6601941747572815,201,125,1.608,225,5252.0,129,40.713178294573645,31,113
Seychelles,8,11,0.7272727272727273,2,5,0.4,5,206.0,4,51.5,0,12
Sierra Leone,41,34,1.2058823529411764,18,24,0.75,33,970.0,22,44.09090909090909,6,36
Singapore,61,56,1.0892857142857142,40,37,1.0810810810810811,64,1998.0,40,49.95,13,53
Slovakia,144,103,1.3980582524271845,194,127,1.5275590551181102,209,4573.0,118,38.75423728813559,17,137
Slovenia,178,127,1.4015748031496063,158,117,1.3504273504273505,212,5217.0,125,41.736,11,153
Solomon Islands,52,35,1.4857142857142858,36,28,1.2857142857142858,53,1190.0,30,39.666666666666664,20,22
Somalia,3,4,0.75,2,6,0.3333333333333333,3,261.0,3,87.0,2,6
South Africa,131,88,1.4886363636363635,85,70,1.2142857142857142,135,3307.0,84,39.36904761904762,40,68
South Korea,252,145,1.7379310344827585,279,168,1.6607142857142858,342,7949.0,183,43.43715846994535,93,117
South Sudan,4,4,1.0,0,1,0.0,2,80.0,2,40.0,1,2
Spain,352,205,1.7170731707317073,528,293,1.8020477815699658,549,11460.0,291,39.381443298969074,100,223
Sri Lanka,21,21,1.0,15,17,0.8823529411764706,21,343.0,10,34.3,11,19
Sudan,85,61,1.3934426229508197,55,57,0.9649122807017544,81,2120.0,52,40.76923076923077,22,59
Suriname,30,28,1.0714285714285714,37,36,1.0277777777777777,37,1163.0,28,41.535714285714285,8,33
Sweden,359,215,1.669767441860465,362,228,1.587719298245614,454,9881.0,242,40.83057851239669,54,239
Switzerland,285,186,1.532258064516129,352,227,1.550660792951542,386,8317.0,216,38.504629629629626,53,216
Syria,84,64,1.3125,107,80,1.3375,115,3055.0,72,42.43055555555556,52,45
São Tomé and Príncipe,3,5,0.6,4,5,0.8,5,184.0,4,46.0,0,8
Tahiti,38,28,1.3571428571428572,51,38,1.3421052631578947,50,1324.0,31,42.70967741935484,29,17
Taiwan,23,27,0.8518518518518519,30,27,1.1111111111111112,29,1019.0,19,53.63157894736842,16,23
Tajikistan,22,23,0.9565217391304348,27,23,1.173913043478261,31,750.0,19,39.473684210526315,3,30
Tanzania,44,30,1.4666666666666666,45,42,1.0714285714285714,47,1205.0,30,40.166666666666664,7,38
Thailand,96,77,1.2467532467532467,77,67,1.1492537313432836,105,2889.0,67,43.11940298507463,26,70
Timor-Leste,4,2,2.0,2,2,1.0,3,88.0,2,44.0,1,1
Togo,70,54,1.2962962962962963,75,73,1.0273972602739727,85,2336.0,57,40.98245614035088,23,63
Tonga,13,11,1.1818181818181819,10,7,1.4285714285714286,16,425.0,9,47.22222222222222,6,7
Trinidad and Tobago,140,98,1.4285714285714286,154,114,1.3508771929824561,172,4318.0,101,42.75247524752475,42,98
Tunisia,184,111,1.6576576576576576,204,150,1.36,234,5167.0,133,38.849624060150376,71,100
Turkey,267,180,1.4833333333333334,266,195,1.3641025641025641,333,7967.0,187,42.60427807486631,36,221
Turkmenistan,59,37,1.5945945945945945,44,31,1.4193548387096775,64,1304.0,34,38.35294117647059,11,34
Turks and Caicos Islands,4,4,1.0,0,1,0.0,2,31.0,1,31.0,1,3
Uganda,44,34,1.2941176470588236,49,53,0.9245283018867925,58,1841.0,42,43.833333333333336,19,42
Ukraine,150,108,1.3888888888888888,181,115,1.5739130434782609,214,4886.0,122,40.049180327868854,21,132
United Arab Emirates,139,98,1.4183673469387754,124,101,1.2277227722772277,156,3937.0,95,41.44210526315789,38,96
United States,372,225,1.6533333333333333,189,142,1.3309859154929577,366,8758.0,212,41.31132075471698,52,201
United States Virgin Islands,4,7,0.5714285714285714,5,4,1.25,6,97.0,4,24.25,0,9
Uruguay,345,218,1.5825688073394495,511,318,1.6069182389937107,536,10972.0,292,37.57534246575342,163,197
Uzbekistan,113,71,1.591549295774648,130,84,1.5476190476190477,160,3775.0,89,42.41573033707865,31,76
Vanuatu,21,22,0.9545454545454546,46,36,1.2777777777777777,37,954.0,23,41.47826086956522,23,17
Venezuela,167,133,1.255639097744361,108,122,0.8852459016393442,154,4682.0,101,46.35643564356435,36,140
Vietnam,31,35,0.8857142857142857,47,36,1.3055555555555556,45,1142.0,28,40.785714285714285,19,31
Vietnam Republic,0,1,0.0,7,7,1.0,4,171.0,3,57.0,5,1
Wales,226,175,1.2914285714285714,213,175,1.217142857142857,272,7474.0,176,42.46590909090909,21,218
Yemen,46,37,1.2432432432432432,26,31,0.8387096774193549,44,1299.0,26,49.96153846153846,19,31
Yemen DPR,2,2,1.0,6,3,2.0,4,92.0,2,46.0,1,2
Yugoslavia,103,59,1.7457627118644068,238,140,1.7,204,4076.0,109,37.39449541284404,30,98
Zambia,122,85,1.4352941176470588,148,108,1.3703703703703705,174,4047.0,101,40.06930693069307,55,82
Zimbabwe,78,53,1.471698113207547,54,54,1.0,77,2280.0,50,45.6,16,55
